"artifactName","artifactPackages","artifactTypes","artifactExternalPackagesFirst2Levels","artifactExternalCallingPackages","artifactExternalCallingPackagesRate","externalPackageNameFirst2Levels","numberOfPackages","numberOfTypes","packagesCallingExternalRate","typesCallingExternalRate","nameOfPackages","someTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_per_artifact_and_external_package.cypher"
"axon-messaging-4.10.0",64,787,19,52,81.25,"org.reactivestreams",2,13,3.125,1.6518424396442186,"org.axonframework.messaging.responsetypes,org.axonframework.queryhandling","org.axonframework.messaging.responsetypes.InstanceResponseType,org.axonframework.messaging.responsetypes.PublisherResponseType,org.axonframework.messaging.responsetypes.OptionalResponseType,org.axonframework.messaging.responsetypes.AbstractResponseType,org.axonframework.messaging.responsetypes.ResponseTypes,org.axonframework.messaging.responsetypes.MultipleInstancesResponseType,org.axonframework.queryhandling.QueryGateway,org.axonframework.queryhandling.StreamingQueryMessage,org.axonframework.queryhandling.GenericStreamingQueryMessage",""
"axon-messaging-4.10.0",64,787,19,52,81.25,"reactor.core",2,18,3.125,2.287166454891995,"org.axonframework.messaging.responsetypes,org.axonframework.queryhandling","org.axonframework.messaging.responsetypes.InstanceResponseType,org.axonframework.messaging.responsetypes.PublisherResponseType,org.axonframework.messaging.responsetypes.OptionalResponseType,org.axonframework.messaging.responsetypes.MultipleInstancesResponseType,org.axonframework.queryhandling.SimpleQueryBus,org.axonframework.queryhandling.DefaultQueryGateway,org.axonframework.queryhandling.QueryBus$1,org.axonframework.queryhandling.SubscriptionQueryResult,org.axonframework.queryhandling.DefaultSubscriptionQueryResult",""
"axon-messaging-4.10.0",64,787,19,52,81.25,"jakarta.validation",1,2,1.5625,0.25412960609911056,"org.axonframework.messaging.interceptors","org.axonframework.messaging.interceptors.BeanValidationInterceptor,org.axonframework.messaging.interceptors.JSR303ViolationException",""
"axon-messaging-4.10.0",64,787,19,52,81.25,"javax.cache",1,2,1.5625,0.25412960609911056,"org.axonframework.common.caching","org.axonframework.common.caching.JCacheAdapter$JCacheListenerAdapter,org.axonframework.common.caching.JCacheAdapter",""
"axon-messaging-4.10.0",64,787,19,52,81.25,"javax.validation",1,2,1.5625,0.25412960609911056,"org.axonframework.messaging.interceptors.legacyvalidation","org.axonframework.messaging.interceptors.legacyvalidation.BeanValidationInterceptor,org.axonframework.messaging.interceptors.legacyvalidation.JSR303ViolationException",""
"axon-messaging-4.10.0",64,787,19,52,81.25,"net.sf",1,2,1.5625,0.25412960609911056,"org.axonframework.common.caching","org.axonframework.common.caching.EhCacheAdapter$CacheEventListenerAdapter,org.axonframework.common.caching.EhCacheAdapter",""
"axon-messaging-4.10.0",64,787,19,52,81.25,"nu.xom",1,3,1.5625,0.38119440914866587,"org.axonframework.serialization.xml","org.axonframework.serialization.xml.XomToStringConverter,org.axonframework.serialization.xml.InputStreamToXomConverter,org.axonframework.serialization.xml.XStreamSerializer",""
"axon-messaging-4.10.0",64,787,19,52,81.25,"org.dom4j",1,3,1.5625,0.38119440914866587,"org.axonframework.serialization.xml","org.axonframework.serialization.xml.XStreamSerializer,org.axonframework.serialization.xml.Dom4JToByteArrayConverter,org.axonframework.serialization.xml.InputStreamToDom4jConverter",""
"axon-messaging-4.10.0",64,787,19,52,81.25,"org.ehcache",1,3,1.5625,0.38119440914866587,"org.axonframework.common.caching","org.axonframework.common.caching.EhCache3Adapter$CacheEventListenerAdapter,org.axonframework.common.caching.EhCache3Adapter$1,org.axonframework.common.caching.EhCache3Adapter",""
"axon-messaging-4.10.0",64,787,19,52,81.25,"reactor.util",1,4,1.5625,0.5082592121982211,"org.axonframework.queryhandling","org.axonframework.queryhandling.QueryGateway,org.axonframework.queryhandling.QueryBus,org.axonframework.queryhandling.SimpleQueryBus$SuccessReporter,org.axonframework.queryhandling.SimpleQueryBus$MonitorCallbackContextWriter",""
"axon-modelling-4.10.0",10,156,5,7,70,"org.slf4j",6,9,60,5.76923076923077,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository.jdbc,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.saga.repository.legacyjpa","org.axonframework.modelling.command.LockingRepository,org.axonframework.modelling.command.AbstractRepository,org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel,org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory,org.axonframework.modelling.saga.AbstractSagaManager,org.axonframework.modelling.saga.AbstractResourceInjector,org.axonframework.modelling.saga.repository.jdbc.JdbcSagaStore,org.axonframework.modelling.saga.repository.jpa.JpaSagaStore,org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore",""
"axon-modelling-4.10.0",10,156,5,7,70,"javax.annotation",4,32,40,20.512820512820515,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.command.legacyjpa,org.axonframework.modelling.saga","org.axonframework.modelling.command.AnnotationCommandTargetResolver,org.axonframework.modelling.command.CreationPolicyAggregateFactory,org.axonframework.modelling.command.ForwardMatchingInstances,org.axonframework.modelling.command.GenericJpaRepository$Builder,org.axonframework.modelling.command.MetaDataCommandTargetResolver,org.axonframework.modelling.command.ForwardNone,org.axonframework.modelling.command.AbstractRepository$Builder,org.axonframework.modelling.command.RepositoryProvider,org.axonframework.modelling.command.VersionedAggregateIdentifier",""
"axon-modelling-4.10.0",10,156,5,7,70,"javax.persistence",3,5,30,3.2051282051282053,"org.axonframework.modelling.command.legacyjpa,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.saga.repository.legacyjpa","org.axonframework.modelling.command.legacyjpa.GenericJpaRepository,org.axonframework.modelling.saga.repository.jpa.SagaEntry,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry,org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore",""
"axon-modelling-4.10.0",10,156,5,7,70,"com.fasterxml",2,2,20,1.2820512820512822,"org.axonframework.modelling.command,org.axonframework.modelling.saga","org.axonframework.modelling.command.AggregateScopeDescriptor,org.axonframework.modelling.saga.SagaScopeDescriptor",""
"axon-modelling-4.10.0",10,156,5,7,70,"jakarta.persistence",2,4,20,2.5641025641025643,"org.axonframework.modelling.command,org.axonframework.modelling.saga.repository.jpa","org.axonframework.modelling.command.GenericJpaRepository,org.axonframework.modelling.saga.repository.jpa.SagaEntry,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry,org.axonframework.modelling.saga.repository.jpa.JpaSagaStore",""
"axon-eventsourcing-4.10.0",9,133,4,6,66.67,"javax.annotation",6,28,66.66666666666666,21.052631578947366,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jdbc,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.legacyjpa","org.axonframework.eventsourcing.EventCountSnapshotTriggerDefinition,org.axonframework.eventsourcing.AbstractSnapshotter$Builder,org.axonframework.eventsourcing.AbstractSnapshotTrigger,org.axonframework.eventsourcing.NoSnapshotTriggerDefinition,org.axonframework.eventsourcing.AggregateLoadTimeSnapshotTriggerDefinition,org.axonframework.eventsourcing.EventSourcingRepository$Builder,org.axonframework.eventsourcing.NoSnapshotTriggerDefinition$NoSnapshotTrigger,org.axonframework.eventsourcing.FilteringEventStorageEngine,org.axonframework.eventsourcing.SnapshotTriggerDefinition",""
"axon-eventsourcing-4.10.0",9,133,4,6,66.67,"org.slf4j",5,14,55.55555555555556,10.526315789473683,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jdbc,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.legacyjpa","org.axonframework.eventsourcing.AbstractSnapshotter,org.axonframework.eventsourcing.AbstractSnapshotter$SilentTask,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$Cleaner,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$EventProducer,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore,org.axonframework.eventsourcing.eventstore.AbstractEventStore,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver",""
"axon-eventsourcing-4.10.0",9,133,4,6,66.67,"javax.persistence",3,5,33.33333333333333,3.7593984962406015,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.legacyjpa","org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry,org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.legacyjpa.SQLErrorCodesResolver",""
"axon-eventsourcing-4.10.0",9,133,4,6,66.67,"jakarta.persistence",2,5,22.22222222222222,3.7593984962406015,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry,org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver",""
